"Full name of the territorial agency","Abbreviated name of the territorial agency","Surname, First name, Patronymic","Post","Description of the functions of territorial agency","Postal address","Working hours","OKTMO","OKATO","OKPO","OGRN","TIN","Telephone number of the inquiries","Telephone number (others)","Fax","URL","E-mail"
"Управление Федеральной службы судебных приставов по Республике Адыгея","УФССП России по Республике Адыгея","Лабазов Дмитрий Владимирович","Руководитель Управления Федеральной службы судебных приставов по Республике Адыгея - главный судебный пристав","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","385000, Республика Адыгея, г. Майкоп, ул. Курганная, д. 345","Понедельник - четверг с 9.00 до 18.00, пятница с 09.00 до 16.45","79701000","79401000000","72618485","1040100553107","0105043869",88772568966,88772569102,,"https://r01.fssp.gov.ru","mail@r01.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Республике Башкортостан","УФССП России по Республике Башкортостан","Махмутов Ильнур Анварович","Руководитель Управления - Главный судебный пристав по Республике Башкортостан","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","450077, Республика Башкортостан, г. Уфа, ул.Цюрупы, д. 95","Понедельник - пятница с 9:00 до 18:00, перерыв с 13:00 до 14:00","80701000","80401000000","75811733","1040203924474","0274101120",83472721446,83472735640,83472721887,"https://r02.fssp.gov.ru","mail@r02.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Республике Бурятия","УФССП России по Республике Бурятия","Ертанов Петр Викторович","Врио руководителя Управления - главного судебного пристава Республики Бурятия","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","670000, Республика Бурятия, г. Улан-Удэ, ул. Борсоева, д. 13Е","Понедельник - пятница с 8:30 до 17:30, перерыв с 12:30 до 13:30","81701000","81401000000","73225735","1040302993576","0326023490",83012289400,83012212086,83012559712,"https://r03.fssp.gov.ru","mail@r03.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Республике Алтай","УФССП России по Республике Алтай","Ильясов Радик Мударисович","Руководитель Управления Федеральной службы судебных приставов по Республике Алтай - главный судебный пристав Республики Алтай","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","649007, Республика Алтай, г. Горно-Алтайск, ул. Ленина, д. 226, стр. 2","Понедельник - четверг с 9:00 до 18:15,  пятница с 9:00 до 17:00, перерыв с 13:00 до 14:00","84701000","84401000000","71547877","1040400770475","0411119740",83882249696,,83882249672,"https://r04.fssp.gov.ru","mail@r04.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Республике Дагестан","УФССП России по Республике Дагестан","Алилов Алик Мирзабекович","Руководитель УФССП России по Республике Дагестан - главный судебный пристав Республики Дагестан","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","367023, Республика Дагестан, г. Махачкала, ул. Мирзабекова А.М., д. 159, ","Понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45","82701000","82401000000","73914831","1040502524402","0560028672",88722672565,88722671656,88722671656,"https://r05.fssp.gov.ru","mail@r05.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Республике Ингушетия","УФССП России по Республике Ингушетия","Шатин Максим Александрович","Руководитель Управления - главный судебный пристав еспублики Ингушетия","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","386100, Республика Ингушетия, г. Магас, ул. К. Кулиева, д. 8","Понедельник - пятница с 9.00 до 18.00, перерыв с 13.00 до 14.00","26000000","26406378000","15076730","1040600284999","0606013456",88734552025,88734552034,88734552025,"https://r06.fssp.gov.ru","mail@r06.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Кабардино-Балкарской Республике","УФССП России по Кабардино-Балкарской Республике","Бауаев Ахмат Каллетович","Руководитель УФССП России по Кабардино-Балкарской Республике - главный судебный пристав Кабардино-Балкарской Республики","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","360051, Кабардино-Балкарская Республика, г. Нальчик, ул. И. Арманд, д. 43-а","Понедельник - пятница с 9.00 до 18.00, перерыв с 13.00 до 14.00","83701000","83401000000","43592927","1040700234300","0721009673",88662425080,,88662426040,"https://r07.fssp.gov.ru","mail@r07.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Республике Калмыкия","УФССП России по Республике Калмыкия","Мухортов Роман Сергеевич","Руководитель УФССП России по Республике Калмыкия - главный судебный пристав Республики Калмыкия","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","358000, Республика Калмыкия, г. Элиста, ул. Герасименко, д. 61","Понедельник - четверг с 09.00 до 18.00, пятница с 09.00 до 16.45, перерыв с 13.00 до 14.00","85701000","85401000000","72471418","1040866732664","0814163082",,,88472238505,"https://r08.fssp.gov.ru","mail@r08.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Карачаево-Черкесской Республике","УФССП России по Карачаево-Черкесской Республике","Урусов Рамазан Борисович","Руководитель Управления - главный судебный пристав","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","369000, Карачаево-Черкесская Республика, г. Черкесск, ул. Кавказская, д. 19","Понедельник - пятница с 9:00 до 18:00, перерыв с 13.00 до 14.00","91701000","91401000000","73656623","1040900967590","0914000740",88782210769,,88782210769,"https://r09.fssp.gov.ru","mail@r09.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Республике Карелия","УФССП России по Республике Карелия","Гончаров Олег Валерьевич","Руководитель Управления - главный судебный пристав","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","185910, Республика Карелия, г. Петрозаводск, ул.Красная, д. 33","Женщины: понедельник - четверг с 09.00 до 17.00, пятница с 09.00 до 16.45. Мужчины: понедельник - четверг с 09.00 до 18.00, пятница с 09.00 до 16.45. перерыв понедельник - среда, пятница с 13.00 до 13.45, четверг с 12.00 до 12.45","86701000","86401000000","75730986","1041000052060","1001048550",88142765891,88142782700,88142765891,"https://r10.fssp.gov.ru","mail@r10.fssp.gov.ru"
