region code,code of the territorial agency,name of the territorial agency,postal address,chief's full name,telephone number,fax,phone of help service,phone of help service 2,working hours of the territorial agency,territory of service
2,68,"МО по ИОИП","450077, г.Уфа, ул.Цюрупы, д.95","Ильбаков Зульфат Иксанович",+7(347)272-16-46,"+7 (347) 276-98-60",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80701000
32,36,ООД,"241050, г.Брянск, ул. Дуки,59  ",,8(4832)66-92-90,8(4832)66-92-90,,+74832668850,,15701000
2,69,ООД,"450077 г.Уфа, ул. Цурюпы, 95","Юсубов Яшар Манафоглы","(347) 273-59-82","(347) 273-59-82",+7(347)273-59-82,+73472721646," Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80701000
2,70,"СО по ОУПДС","450077, , Республика Башкортостан, , Уфа, , Цюрупы, 95, , ","Игебаев Фуат Факилович","8 (347) 251-16-64","8 (347) 279-14-48",,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80701000
2,71,"СО по РДИ","450077 РБ г.Уфа, ул. Цурюпы, 95 э.4","Дебердиев Руслан Рустамоваич","8 (347) 273-13-67","8 (347) 273-13-67",+7(347)272-28-43,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80701000
47,33,"Сосновоборское РОСП","188544, Г. СОСНОВЫЙ БОР, УЛ.ПИОНЕРСКАЯ, Д.6",,,,,+78126303536,"Вт с 09:00 до 13:00, Чт 13:00 до 18:00",41754000
46,6,ОСН,"305029, Россия, Курская обл., , г. Курск, , ул. Карла Маркса, 65, , ","Овчинников Валерий Владимирович",,,+7(4712)36-07-71,+74712360771,круглосуточно,38701000
47,35,"Тосненское РОСП","187002, г.Тосно, ул.Боярова, д.16а","Белякова Татьяна Васильевна",,,,+78126303536,"Вт с 09:00 до 13:00, Чт 13:00 до 18:00",41648101
55,43,"Отделение специального назначения",,"Безганс Вячеслав Владимирович",,,,+73812976700,,
66,70,"Отделение специального назначения",,"Магазинов Виталий Владимирович",,,,+73433622808,"понедельник - четверг с 9:00-18:00, пятница с 9:00 до 16:45, обед с 13:00 до 13:45",
1,0,"УФССП России по Республике Адыгея","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Лабазов Дмитрий Владимирович","8(8772) 56-89-66",,+88772568966,+78772569626,"Четверг 16.00-20.00",79701000
1,12,"Майкопское городское отделение судебных приставов","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Жилина Анна Алексеевна","8(87772) 56-97-66",,+7(8772)56-97-66,+78772569626,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00",79701000
1,13,"Межрайонное отделение судебных приставов по особым исполнительным производствам","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Агирова Эмма Туркубиевна","8(8772) 56-99-18",,+7(8772)56-99-18,+78772569626,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00",79701000
1,14,"Майкопское районное отделение судебных приставов","38500, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Ханахок Заур Хазраилович","8(8772) 56-90-88","8(8772) 56-90-88",+7(8772)56-90-88,+78772569626,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00",79622455
