region code,code of the territorial agency,name of the territorial agency,postal address,chief's full name,telephone number,fax,phone of help service,phone of help service 2,working hours of the territorial agency,territory of service
1,0,"УФССП России по Республике Адыгея","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Лабазов Дмитрий Владимирович","8(8772) 56-89-66",,+88772568966,+88772568966,"Четверг 16.00-20.00",
1,12,"Майкопское городское отделение судебных приставов","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Жилина Анна Алексеевна","8(87772) 56-97-66",,+7(8772)56-97-66,+7(8772)56-97-66,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00",г.Майкоп
1,13,"Межрайонное отделение судебных приставов по особым исполнительным производствам","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Агирова Эмма Туркубиевна","8(8772) 56-99-18",,+7(8772)56-99-18,+7(8772)56-99-18,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00",
1,14,"Майкопское районное отделение судебных приставов","38500, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Ханахок Заур Хазраилович","8(8772) 56-90-88","8(8772) 56-90-88",+7(8772)56-90-88,+7(8772)56-90-88,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00","Майкопский район"
1,23,"Майкопское специализированное отделение по обеспечению установленного порядка деятельности судов","385020, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Татлок Аслан Бадурдинович"," (8772) 568966",,,,"понедельник с 9.00 до 18.00",
1,16,"Теучежское межрайонное отделение судебных приставов","385200, Теучежский район, Республика Адыгея, аул. Понежукай, ул. Комсомольская, 27","Хут Нурдин","8(87772) 9-76-23","8(87772) 9-76-23",+7(87772)9-76-23,+7(87772)9-76-23,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00","Теучежский район, г. Адыгейск"
1,17,"Кошехабльское районное отделение судебных приставов","385400, Кошехабльский район, Республика Адыгея, аул. Кошехабль, ул. Джаримова, 7","Ханахок Заур Хазраилович","8(87770) 9-13-49","8(87770) 9-13-49",+7(87770)9-13-49,+7(87770)9-13-49,"Вт с 09.00 до 15.00, Чт с 14.00 до 18.00","Кошехабльский район"
1,18,"Гиагинское районное отделение судебных приставов","385600, Гиагинский район, Республика Адыгея, ст. Гиагинская, ул. Советская, 26","Тат Александр Евгеньевич","8(87779) 9-19-96","8(87779) 9-19-96",+7(87779)9-19-96,+7(87779)9-19-96,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00.","Гиагинский район"
1,19,"Красногвардейское районное отделение судебных приставов","385300, Красногвардейский район, Республика Адыгея, с. Красногвардейское, ул. 50 лет Октября, 16","Акопян Шираз Арамович","8(87778) 5-22-30","8(87778) 5-22-30",+7(87778)5-22-30,+7(87778)5-22-30,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00","Красногвардейский район"
1,20,"Тахтамукайское районное отделение судебных приставов","385100, Россия, Респ. Адыгея, , , аул Тахтамукай, ул. Кузнечная, 2, , ","Шаков Рамазан Русланович","8(87771) 9-42-69","8(87771) 9-42-69",+7(87771)9-42-69,+7(87771)9-42-69,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00","Тахтамукайский район"
1,21,"Шовгеновское районное отделение судебных приставов","385440, Республика Адыгея, Шовгеновский район, аул. Хакуринохабль, ул. Шовгенова, 14","Беданоков Аскер Гумерович","8(87773) 9-29-50","8(87773) 9-29-50",+7(87773)9-29-50,+7(87773)9-29-50,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00","Шовгеновский район"
14,916,"Отдельные должности (по контрольно-ревизионной работе)",,"Торопова Светлана Николаевна","7 (4112) 22-63-97","7(4112) 401690",,,,
1,24,"Отделение оперативного дежурства","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Калашаов Аскар Январбиевич","8(8772) 56-89-66",,,,-,
1,25,"Отделение специального назначения","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Хабаху Мугдин Батырбиевич","8(8772) 56-89-66",,,,-,
1,901,"Отдел организации исполнительного производства, исполнительного розыска, реализации имущества должников","385020, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Еловенко Александр Романович"," (8772) 568966",,,,"понедельник с 9.00 до 18.00",
1,903,"Отделение организации обеспечения установленного порядка деятельности судов","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Костин Алексей Алексеевич","8(8772) 56-89-66",,+88772569129,+88772569129,"Пн 09.00 до 18.00",
1,904,"Отделение организации дознания","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Шахиев Нальбий Асланович","8(8772) 56-89-66",,+88772570769,+88772570769,"понедельник 09.00 - 18.00",
1,905,"Отдел организационно-контрольной работы, документационного обеспечения и работы с обращениями граждан и организаций","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Шумаев Тимур Гайдарович","8(8772) 56-89-66",,+88772568528,+88772568528,"Пн 09.00 до 18.00",
1,907,"Отдел правового обеспечения и ведения государственного реестра и контроля за деятельностью юридических лиц, осуществляющих функции по возврату просроченной задолженности","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Булатова Рената Рустамовна","(8772) 56-89-66",,+88772569623,+88772569623,"понедельник 9.00 - 18.00",
1,909,"Отделение государственной службы и кадров","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Симболетова Марина Каплановна",8(8772)56-89-66,,+88772569066,+88772569066,"Пн с 09.00 до 18.00",
11,924,"Отдельные должности (по защите государственной тайны)","167981, Россия, Респ. Коми, , г. Сыктывкар, , ул. Пушкина, 110, , ","Шиханов Аркадий Гаевич",8(8212)28-74-50,,,,,
1,911,"Отделение информатизации и обеспечения информационной безопасности","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Холодный Андрей Васильевич","8(8772) 56-89-66",,+88772570769,+88772570769,"понедельник 09.00 - 18.00",
1,912,"Отделение собственной безопасности","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Тлевцежев Тимур Нурбиевич",8(8772)56-89-66,,+88772569066,+88772569066,"Пн с 09.00 до 18.00",
1,913,"Отдельная должность (по взаимодействию со средствами массовой информации)","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Биданок Бэлла Аслановна",8(8772)56-89-66,,+88772568966,+88772568966,"Пнс 09.00 до 18.00",
1,915,"Отдел финансово-экономического и материально-технического обеспечения","385020, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Хут Зарема Асланчериевна"," (8772) 568966",,,,"понедельник с 9.00 до 18.00",
1,916,"Отдельная должность (по контрольно - ревизионной работе)","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Науменко Раиса Юрьевна",8(8772)56-89-66,,+88772568966,+88772568966,"Пнс 09.00 до 18.00",
1,923,"Отдельная должность (по мобилизационной подготовке и гражданской обороне)","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Довгаль Светлана Карповна",8(8772)56-89-66,,+88772568966,+88772568966,"Пнс 09.00 до 18.00",
1,924,"Отдельная должность (по защите государственной тайны)","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Бойко Александр Владимирович",8(8772)56-89-66,,+88772568966,+88772568966,"Пнс 09.00 до 18.00",
2,0,"УФССП России по Республике Башкортостан","450077, г.Уфа, ул.Цюрупы, д.95","Махмутов Ильнур Анварович",+7(347)273-58-05,+7(347)272-18-87,,,"В рабочие дни - в четверг с 16.00 час. до 20.00 час. в нерабочие дни - первая су","Республика Башкортостан"
2,902,"Отдел организации работы по реализации имущества должников УФССП по Республике Башкортостан","450000, Россия, , , г. Уфа, , Цюрупы, 95, , ","Нестерова Елена Владимировна",+7(347)273-58-05,+7(347)273-52-79,+7(347)273-52-79,,,
